2010_avg_ridership,2011_avg_ridership,2013_avg_ridership,2014_avg_ridership,borough,change_from_2013,closed_2014,prc_change_from_2013,station_trains
13584,13977,14673,15117,Brooklyn,444,,3.03,"Utica Av (A,C)"
13791,13774,14802,14897,Queens,95,,0.64,"30 Av (N,Q)"
14028,15036,14769,14870,Queens,101,,0.68,"Steinway St (M,R)"
14158,14528,14947,14768,Manhattan,179,,-1.2,137 St-City College (1)
14389,14479,14656,14634,Queens,22,,-0.15,46 St-Bliss St (7)
12744,13422,14380,14576,Bronx,196,,1.36,"149 St-Grand Concourse (2,4,5)"
10349,11319,11775,14573,Brooklyn,2798,,23.76,"Marcy Av (J,M,Z)"
13660,13587,14246,14256,Queens,10,,0.07,33 St-Rawson St (7)
10028,10450,12610,14123,Queens,1513,,12.0,Vernon Blvd-Jackson Av (7)
14969,13716,14010,14118,Brooklyn,108,,0.77,"Sheepshead Bay (B,Q)"
12374,12685,13663,13935,Manhattan,272,,1.99,"81 St-Museum of Natural History (B,C)"
13079,13254,13177,13734,Brooklyn,557,,4.23,"Coney Island-Stillwell Av (D,F,N,Q)"
12779,12993,13276,13720,Manhattan,444,,3.34,East Broadway (F)
13116,13650,13874,13630,Manhattan,244,,-1.76,Cathedral Pkwy-110 St (1)
13253,13426,13597,13568,Queens,29,,-0.21,"Elmhurst Av (M,R)"
12644,12678,13280,13515,Queens,235,,1.77,"Broadway (N,Q)"
12504,12817,13254,13512,Brooklyn,258,,1.95,Canarsie-Rockaway Pkwy (L)
12078,12737,13309,13460,Manhattan,151,,1.13,175 St (A)
11249,12097,13136,13319,Manhattan,183,,1.39,"Spring St (C,E)"
12968,13292,13500,13318,Manhattan,182,,-1.35,103 St (1)
11979,11999,12506,12871,Brooklyn,365,,2.92,"59 St (N,R)"
11412,12479,13156,12835,Brooklyn,321,,-2.44,"4 Av (F,G)/9 St (R)"
12556,12815,14004,12547,Brooklyn,1457,,-10.4,Lorimer St (L)/Metropolitan Av (G)
12770,12421,12185,12498,Brooklyn,313,,2.57,"Brighton Beach (B,Q)"
11135,11411,12059,12497,Brooklyn,438,,3.63,"36 St (D,N,R)"
11630,11836,12162,12452,Manhattan,290,,2.38,110 St (6)
10003,10894,11607,12407,Manhattan,800,,6.89,"28 St (N,R)"
11454,11465,11878,12363,Bronx,485,,4.08,"Fordham Rd (B,D)"
11132,11729,12257,12327,Manhattan,70,,0.57,Spring St (6)
11018,12792,12268,12242,Brooklyn,26,,-0.21,"7 Av (F,G)"
12080,12330,12558,12231,Bronx,327,,-2.6,Fordham Rd (4)
11173,11809,12210,12209,Queens,1,,-0.01,"Astoria Blvd (N,Q)"
10451,10829,11617,11943,Brooklyn,326,,2.81,DeKalb Av (L)
10710,11076,11648,11920,Brooklyn,272,,2.34,86 St (R)
10227,10627,11508,11787,Manhattan,279,,2.42,"116 St (2,3)"
11778,11708,11468,11752,Brooklyn,284,,2.48,"Nevins St (2,3,4,5)"
10002,11906,12339,11744,Brooklyn,595,,-4.82,"Carroll St (F,G)"
10803,10370,11228,11673,Manhattan,445,,3.96,181 St (1)
10572,10771,11236,11605,Manhattan,369,,3.28,"86 St (B,C)"
10578,11048,11562,11570,Brooklyn,8,,0.07,"Bergen St (F,G)"
8916,9577,11132,11554,Queens,422,,3.79,"Queensboro Plaza (N,Q,7)"
11232,11243,11560,11538,Bronx,22,,-0.19,Burnside Av (4)
10215,10480,10873,11341,Brooklyn,468,,4.3,8 Av (N)
10620,10751,11100,11211,Queens,111,,1.0,40 St-Lowery St (7)
10457,10593,10914,11091,Queens,177,,1.62,111 St (7)
8995,9670,10876,11048,Brooklyn,172,,1.58,"Myrtle Av (J,M,Z)"
8165,8902,11323,10869,Manhattan,454,,-4.01,Rector St (1)
9723,10044,10404,10861,Manhattan,457,,4.39,181 St (A)
9899,9972,10677,10822,Manhattan,145,,1.36,157 St (1)
9179,9672,10788,10707,Brooklyn,81,,-0.75,"Newkirk Plaza (B,Q)"
9750,10037,10418,10652,Brooklyn,234,,2.25,"Euclid Av (A,C)"
9442,9828,10136,10643,Brooklyn,507,,5.0,Graham Av (L)
9754,10153,10431,10231,Bronx,200,Yes,-1.92,Kingsbridge Rd (4)
9037,9249,9815,10203,Manhattan,388,,3.95,"96 St (B,C)"
8370,8869,9696,10125,Queens,429,,4.42,"Queens Plaza (E,M,R)"
10494,10316,10144,10111,Bronx,33,,-0.33,Hunts Point Av (6)
9417,9510,9931,10099,Manhattan,168,,1.69,145 St (1)
10005,10077,10076,10060,Manhattan,16,,-0.16,Christopher St-Sheridan Sq (1)
9429,10463,9984,9954,Brooklyn,30,,-0.3,"Church Av (F,G)"
9815,9421,9672,9948,Bronx,276,,2.85,"Simpson St (2,5)"
8839,9054,9374,9906,Bronx,532,,5.68,"167 St (B,D)"
9691,9929,9794,9852,Brooklyn,58,,0.59,"Church Av (2,5)"
9220,9351,9904,9793,Bronx,111,,-1.12,167 St (4)
8513,8767,9157,9727,Bronx,570,,6.22,"Tremont Av (B,D)"
8496,8557,9761,9715,Brooklyn,46,,-0.47,"Prospect Park (B,Q,S)"
8691,8850,9614,9688,Bronx,74,,0.77,"Pelham Pkwy (2,5)"
9742,9760,9604,9672,Brooklyn,68,,0.71,"Hoyt-Schermerhorn Sts (A,C,G)"
9246,9399,9529,9608,Queens,79,,0.83,"46 St (M,R)"
8098,8472,9130,9559,Manhattan,429,,4.7,"Central Park North-110 St (2,3)"
9238,9333,9475,9544,Queens,69,,0.73,"67 Av (M,R)"
9614,9615,9389,9495,Brooklyn,106,,1.13,"7 Av (B,Q)"
9439,9578,9588,9459,Bronx,129,Yes,-1.35,Mosholu Pkwy (4)
9234,9259,9525,9403,Bronx,122,,-1.28,170 St (4)
8680,9170,8951,9372,Bronx,421,,4.7,231 St (1)
8435,8679,9067,9361,Manhattan,294,,3.24,"72 St (B,C)"
8243,8477,9165,9258,Brooklyn,93,,1.01,"Flushing Av (J,M)"
8412,8441,8863,9149,Brooklyn,286,,3.23,"Broadway Junction (A,C,J,L,Z)"
8202,8888,8866,9136,Manhattan,270,,3.05,Inwood-207 St (A)
8600,8949,9042,9106,Queens,64,,0.71,169 St (F)
6621,7426,8629,8973,Brooklyn,344,,3.99,York St (F)
8365,8678,8761,8914,Queens,153,,1.75,21 St-Queensbridge (F)
7343,7791,8435,8765,Brooklyn,330,,3.91,Nassau Av (G)
7968,8199,8505,8638,Manhattan,133,,1.56,18 St (1)
7561,7686,8258,8580,Manhattan,322,,3.9,191 St (1)
7715,7786,8662,8474,Queens,188,,-2.17,Rockaway Blvd (A)
7602,7779,8043,8466,Bronx,423,,5.26,Norwood-205 St (D)
8119,8240,8079,8283,Brooklyn,204,,2.53,Bay Ridge Av (R)
6259,6586,7543,8174,Brooklyn,631,,8.37,"High St (A,C)"
8052,7749,7979,8170,Bronx,191,,2.39,"West Farms Sq-East Tremont Av (2,5)"
7461,7621,7831,8084,Brooklyn,253,,3.23,Sutter Av-Rutland Rd (3)
7243,7468,7995,8077,Manhattan,82,,1.03,125 St (1)
7666,7715,7757,8015,Brooklyn,258,,3.33,"Newkirk Av (2,5)"
7208,7189,7422,7975,Bronx,553,,7.45,"Kingsbridge Rd (B,D)"
7722,7882,8066,7971,Brooklyn,95,,-1.18,"Grand Army Plaza (2,3)"
6985,7238,7667,7951,Bronx,284,,3.7,3 Av-138 St (6)
7551,7212,7424,7857,Bronx,433,,5.83,"Prospect Av (2,5)"
6923,7169,7444,7824,Brooklyn,380,,5.1,Grand St (L)
7523,8073,8461,7819,Brooklyn,642,,-7.59,Greenpoint Av (G)
6040,6348,7300,7778,Brooklyn,478,,6.55,Bedford-Nostrand Avs (G)
6717,7045,7339,7752,Bronx,413,,5.63,"Gun Hill Rd (2,5)"
6420,6672,7308,7720,Brooklyn,412,,5.64,Halsey St (L)
7185,7409,7639,7720,Brooklyn,81,,1.06,"Winthrop St (2,5)"
7513,7852,7776,7683,Bronx,93,,-1.2,Woodlawn (4)
7326,7491,7476,7641,Queens,165,,2.21,Ozone Park-Lefferts Blvd (A)
7227,7049,7339,7599,Bronx,260,,3.54,"174 St (2,5)"
7352,7194,7688,7577,Queens,111,,-1.44,"36 Av (N,Q)"
7423,7533,7479,7512,Brooklyn,33,,0.44,53 St (R)
5931,6518,7003,7489,Bronx,486,,6.94,"East 180 St (2,5)"
6538,6705,6772,7442,Bronx,670,,9.89,Pelham Bay Park (6)
7066,7049,7235,7431,Queens,196,,2.71,"Northern Blvd (M,R)"
6359,6663,6820,7351,Bronx,531,,7.79,Westchester Sq-East Tremont Av (6)
6753,6594,7111,7322,Brooklyn,211,,2.97,Bay Pkwy (D)
6497,6703,6990,7301,Brooklyn,311,,4.45,Bay Pkwy (N)
6050,6530,7126,7298,Brooklyn,172,,2.41,Morgan Av (L)
6597,6742,7117,7253,Manhattan,136,,1.91,"Cathedral Pkwy-110 St (B,C)"
6508,6715,7034,7244,Brooklyn,210,,2.99,Fort Hamilton Pkwy (N)
5408,5771,6612,7230,Brooklyn,618,,9.35,Jefferson St (L)
7059,7218,6978,7208,Brooklyn,230,,3.3,45 St (R)
6123,6278,6803,7193,Manhattan,390,,5.73,3 Av (L)
6262,6535,6657,7138,Brooklyn,481,,7.23,"Hoyt St (2,3)"
7092,4025,6564,7112,Manhattan,548,Yes,8.35,Dyckman St (1)
6148,6504,6943,7107,Bronx,164,,2.36,Van Cortlandt Park-242 St (1)
5945,6153,6594,7005,Manhattan,411,,6.23,"116 St (B,C)"
6054,6155,6563,6988,Bronx,425,,6.48,"170 St (B,D)"
5946,6268,6731,6961,Brooklyn,230,,3.42,Montrose Av (L)
6440,6596,6830,6951,Queens,121,,1.77,52 St (7)
4101,6816,6821,6922,Brooklyn,101,Yes,1.48,Avenue U (Q)
5404,5698,6642,6719,Brooklyn,77,,1.16,Clinton-Washington Avs (C)
5935,7088,6557,6687,Manhattan,130,,1.98,Dyckman St (A)
2304,9603,6588,6669,Bronx,81,Yes,1.23,Morrison Av-Soundview (6)
6023,6113,6400,6666,Queens,266,,4.16,Hunters Point Av (7)
6037,6150,6303,6645,Bronx,342,,5.43,"Bedford Park Blvd (B,D)"
6015,6223,6349,6626,Brooklyn,277,,4.36,New Lots Av (3)
5733,5554,6293,6617,Brooklyn,324,,5.15,79 St (D)
6013,6174,6463,6540,Queens,77,,1.19,Parsons Blvd (F)
6401,5746,5635,6525,Manhattan,890,Yes,15.79,"Broad St (J,Z)"
9042,2240,6377,6496,Bronx,119,Yes,1.87,Elder Av (6)
6220,4725,6448,6495,Brooklyn,47,Yes,0.73,"15 St-Prospect Park (F,G)"
5348,5786,6227,6492,Brooklyn,265,,4.26,"Franklin Av (C,S)"
6089,6216,6270,6475,Brooklyn,205,,3.27,Grant Av (A)
6738,7010,6528,6415,Brooklyn,113,,-1.73,Union St (R)
6071,6162,6360,6356,Bronx,4,Yes,-0.06,183 St (4)
5917,6745,6098,6336,Manhattan,238,,3.9,207 St (1)
5699,5516,6162,6326,Brooklyn,164,Yes,2.66,18 Av (D)
5874,6073,6186,6312,Bronx,126,,2.04,Brook Av (6)
5413,5787,5999,6277,Brooklyn,278,,4.63,"Gates Av (J,Z)"
5691,5960,6039,6277,Manhattan,238,,3.94,Canal St (1)
5378,5608,5805,6174,Brooklyn,369,,6.36,Halsey St (J)
5897,6052,6201,6089,Bronx,112,,-1.81,Bedford Park Blvd-Lehman College (4)
5406,5596,5971,6083,Brooklyn,112,,1.88,"Clark St (2,3)"
6742,6860,6036,6060,Brooklyn,24,,0.4,Avenue J (Q)
5715,5848,5974,6051,Brooklyn,77,,1.29,Bay Ridge-95 St (R)
5776,5794,6002,6038,Bronx,36,,0.6,Gun Hill Rd (5)
5955,5533,5857,6004,Brooklyn,147,,2.51,9 Av (D)
7870,6576,6321,5998,Manhattan,323,,-5.11,Roosevelt Island (F)
4897,5152,5678,5968,Brooklyn,290,,5.11,Kingston-Throop Avs (C)
6006,6230,5934,5943,Brooklyn,9,,0.15,Prospect Av (R)
5529,5662,5807,5933,Brooklyn,126,,2.17,Saratoga Av (3)
4517,5383,5905,5914,Bronx,9,,0.15,176 St (4)
4628,4632,5836,5903,Brooklyn,67,Yes,1.15,Avenue M (Q)
5848,5748,5995,5891,Bronx,104,,-1.73,Mt Eden Av (4)
5804,5998,5825,5867,Manhattan,42,,0.72,Franklin St (1)
5597,5755,5915,5783,Brooklyn,132,,-2.23,"Sterling St (2,5)"
5570,4758,5456,5766,Manhattan,310,Yes,5.68,Marble Hill-225 St (1)
5282,5193,5526,5737,Bronx,211,,3.82,"Allerton Av (2,5)"
5729,5715,5632,5735,Brooklyn,103,,1.83,Rockaway Av (3)
6578,6812,5318,5727,Brooklyn,409,Yes,7.69,Cortelyou Rd (Q)
5800,5798,5675,5718,Brooklyn,43,,0.76,Pennsylvania Av (3)
5179,5379,5473,5701,Bronx,228,,4.17,"233 St (2,5)"
5001,5431,5333,5677,Queens,344,,6.45,Fresh Pond Rd (M)
4967,4268,5531,5650,Brooklyn,119,Yes,2.15,"Fort Hamilton Pkwy (F,G)"
5249,5110,5432,5631,Bronx,199,,3.66,"Jackson Av (2,5)"
4878,5145,5592,5620,Manhattan,28,,0.5,"135 St (B,C)"
4840,5007,5381,5570,Brooklyn,189,,3.51,Ralph Av (C)
5146,5228,5353,5548,Brooklyn,195,,3.64,77 St (R)
5049,5469,5092,5491,Brooklyn,399,,7.84,18 Av (N)
3361,4745,5497,5393,Manhattan,104,Yes,-1.89,Cortlandt St (R)
5017,5065,5154,5344,Brooklyn,190,,3.69,Kings Hwy (N)
4139,4412,4916,5330,Brooklyn,414,,8.42,Myrtle-Willoughby Avs (G)
4537,4660,4885,5301,Bronx,416,,8.52,"174-175 Sts (B,D)"
5155,5340,5159,5270,Brooklyn,111,,2.15,New Utrecht Av (N)/62 St (D)
4815,4971,5137,5223,Brooklyn,86,,1.67,Rockaway Av (C)
4942,5190,5294,5178,Brooklyn,116,,-2.19,Clinton-Washington Avs (G)
4582,4955,4825,5168,Bronx,343,,7.11,Wakefield-241 St (2)
5031,4984,5085,5128,Queens,43,,0.85,69 St (7)
4588,4882,4992,5121,Queens,129,,2.58,Jamaica-Van Wyck (E)
4717,4825,4949,5017,Brooklyn,68,,1.37,Kingston Av (3)
3961,4255,4785,5005,Brooklyn,220,,4.6,New Lots Av (L)
6407,6691,4240,4969,Brooklyn,729,Yes,17.19,Parkside Av (Q)
4333,4603,4948,4948,Bronx,0,,0.0,Eastchester-Dyre Av (5)
7617,7540,5632,4938,Bronx,694,Yes,-12.32,Castle Hill Av (6)
4517,4478,4859,4930,Brooklyn,71,,1.46,20 Av (D)
4551,4667,4683,4925,Brooklyn,242,,5.17,"Crescent St (J,Z)"
4813,4835,4938,4889,Brooklyn,49,,-0.99,"Eastern Pkwy-Brooklyn Museum (2,3)"
4296,4382,4762,4867,Bronx,105,,2.2,"Freeman St (2,5)"
4627,4665,4825,4857,Brooklyn,32,,0.66,Lafayette Av (C)
4364,4564,4796,4836,Brooklyn,40,,0.83,"Lorimer St (J,M)"
4782,4562,4760,4832,Manhattan,72,,1.51,"103 St (B,C)"
4550,4546,4554,4813,Bronx,259,,5.69,"182-183 Sts (B,D)"
4260,4433,4576,4796,Queens,220,,4.81,"Woodhaven Blvd (J,Z)"
4605,4693,4932,4795,Queens,137,,-2.78,Sutphin Blvd (F)
4763,1834,2854,4762,Brooklyn,1908,Yes,66.85,"Smith-9 Sts (F,G)"
4315,4528,4751,4761,Brooklyn,10,,0.21,Kosciuszko St (J)
4318,4220,4607,4761,Brooklyn,154,,3.34,25 Av (D)
4662,4750,2651,4748,Queens,2097,Yes,79.1,Far Rockaway-Mott Av (A)
5688,5655,4664,4695,Queens,31,,0.66,"Briarwood-Van Wyck Blvd (E,F)"
4365,3740,4538,4682,Brooklyn,144,Yes,3.17,71 St (D)
4050,4201,4555,4675,Brooklyn,120,,2.63,Sutter Av (L)
4101,4181,4291,4664,Queens,373,,8.69,80 St (A)
4471,4554,4676,4622,Brooklyn,54,,-1.15,Ditmas Av (F)
4226,4336,4580,4619,Bronx,39,,0.85,East 149 St (6)
3935,4170,4490,4601,Brooklyn,111,,2.47,Classon Av (G)
4003,4340,4540,4597,Queens,57,,1.26,"36 St (M,R)"
4104,4346,4479,4593,Bronx,114,,2.55,"225 St (2,5)"
4648,4472,4675,4555,Queens,120,,-2.57,Mets-Willets Point (7)
